"FILM_ID";"FILM_NAME";"PROD_YEAR";"MADEIN";"STUDIA";"STARTDATE";"AGE_RESTR";"GENRE";"MDIRECTOR"
"121022415";"Голодные игры: Сойка-пересмешница. Часть 2";"2015";"США";"ООО ""Уолт Дисней Студиос Сони Пикчерс Релизинг""";"2015-11-19 00:00:00";16;"боевик, приключения, триллер, фантастика";"Френсис Лоуренс"
"121022515";"В сердце моря";"2015";"США";;"2015-12-03 00:00:00";12;"биографический, боевик, драма, исторический, приключения, триллер";"Рон Ховард"
"121022615";"Рок на Востоке";"2015";"США";"ООО ""МЕГОФИЛЬМ""";"2015-11-12 00:00:00";;;"Барри Левинсон"
"121022715";"Шеф Адам Джонс";"2015";"США";"ООО ""МЕГОФИЛЬМ""";"2015-11-12 00:00:00";18;"драма, комедия";"Джон Уэллс"
"121022815";"Виктор Франкенштейн";"2015";"США";"ООО ""Двадцатый Век Фокс СНГ""";"2015-11-26 00:00:00";16;"драма, триллер, ужасы, фантастика";"Пол МакГиган"
"121022915";"Скорость: Автобус 657";"2015";"США";"ООО ""Дистрибуционная кинокомпания ""Парадиз""";"2015-11-12 00:00:00";;;"Скотт Манн"
"121023015";"Любовь без обязательств";"2015";"США";;"2015-12-10 00:00:00";18;"драма, комедия, мелодрама";"Лесли Хэдланд"
"121023115";"Рюдзо и семеро бойцов";"2015";"Япония";;"2015-11-19 00:00:00";;;"Такеши Китано"
"121023215";"Жертвуя пешкой";"2014";"США";"ООО ""ВОЛЬГАФИЛЬМ""";"2015-11-19 00:00:00";16;"биографический, драма";"Эдвард Цвик"
"121023315";"Стив Джобс";"2015";"США";;"2016-01-01 00:00:00";18;"биографический, драма";"Дэнни Бойл"
"121023415";"Макбет (2015)";"2015";"Великобритания-США-Франция";;"2015-11-26 00:00:00";0;"военный, драма";"Джастин Курзель"
"121023515";"Крампус";"2015";"США";;"2016-01-01 00:00:00";16;"комедия, ужасы, фэнтези";"Майкл Догерти"
"121023614";"Superнянь";"2014";"Франция";;;;;"Николас Бенаму, Филипп Лашо"
"121023615";"Охота на монстра";"2015";"Китай-Гонконг";;"2015-12-10 00:00:00";;;"Раман Хюи"
"121023715";"Убийца (2015)";"2015";"США";;"2015-11-26 00:00:00";;;"Деннис Виллануэве"
"121023815";"Superнянь 2";"2015";"Франция";;"2015-12-03 00:00:00";16;"комедия";"Николас Бенаму, Филипп Лашо"
"121023915";"45 лет";"2015";"Великобритания";;"2015-12-03 00:00:00";16;"драма, мелодрама";"Эндрю Хэй"
"121024015";"Ужастики";"2015";"США - Австралия";;"2015-12-03 00:00:00";;;"Роб Леттерман"
"121024115";"Ма Ма";"2015";"Испания - Франция";;"2015-12-03 00:00:00";18;"драма";"Хулио Медем"
"121024215";"Волна";"2015";"Норвегия";;"2015-12-10 00:00:00";;;"Роар Утхауг"
"121024315";"Дипан";"2015";"Франция";;"2015-12-03 00:00:00";;;"Жак Одиар"
"121024415";"Костяной томагавк";"2015";"США";;"2015-12-10 00:00:00";18;"вестерн, драма, приключения, ужасы";"С. Крэйг Залер"
"121024515";"Убей своих друзей";"2015";"Великобритания";;"2015-12-10 00:00:00";;;"Оуэн Харрис"
"121024615";"На гребне волны (2015)";"2015";"США - Германия - КНР";;"2015-12-24 00:00:00";16;"боевик, триллер";"Эриксон Кор"
"121024715";"Любите Куперов";"2015";"США";;"2015-12-10 00:00:00";16;"комедия";"Джесси Нельсон"
"121024815";"Тронутые (2014)";"2014";"США";;"2016-03-24 00:00:00";16;"драма, комедия";"Грен Уэллс"
"121024915";"Звёздные войны: Пробуждение силы";"2015";"США";;"2015-12-17 00:00:00";12;"боевик, приключения, фантастика, фэнтези";"Джей Джей Абрамс"
"121025115";"Здравствуй, папа, Новый год";"2015";"США";;"2016-01-07 00:00:00";12;"комедия";"Шон Андерс"
"121025215";"Девушка из Дании";"2015";"США - Великобритания - Германия - Бельгия - Дания";;"2016-01-28 00:00:00";18;"биографический, драма, мелодрама";"Том Хупер"
"121025415";"Театр призраков";"2015";"Япония";;"2016-02-11 00:00:00";18;"ужасы";"Хидео Наката"
"121025515";"Строго на Запад";"2015";"Великобритания - Новая Зеландия";;"2016-01-21 00:00:00";16;"вестерн, драма, триллер";"Джон Маклин"
"121025615";"Телохранитель (2015)";"2015";"Франция - Бельгия";;"2016-01-14 00:00:00";16;"драма, триллер";"Алис Винокур"
"121025715";"Крид: Наследие Рокки";"2015";"США";;"2016-01-14 00:00:00";16;"драма";"Райан Куглер"
"121025815";"Сёстры (2015)";"2015";"США";;"2016-01-14 00:00:00";;;"Джейсон Мур"
"121025915";"Спасение (2015)";"2015";"Канада";;"2015-12-24 00:00:00";;;"Стивен С.Миллер"
"121026015";"Омерзительная восьмерка";"2015";"США";;"2016-01-14 00:00:00";18;"вестерн, детектив, драма, триллер";"Квентин Тарантино"
"121026115";"Лазурный берег";"2015";"США - Франция";;"2016-02-11 00:00:00";18;"драма, мелодрама";"Анджелина Джоли"
"121026215";"Выживший (2015)";"2015";"США";;"2016-01-07 00:00:00";18;"вестерн, драма, приключения, триллер";"Алехандро Гонсалес Иньярриту"
"121026315";"Джой (2015)";"2015";"США";;"2016-01-21 00:00:00";16;"драма";"Дэвид О.Рассел"
"121026414";"Голодные игры: Сойка-пересмешница. Часть 1";"2014";"США";;;;;"Френсис Лоуренс"
"121026415";"Элвин и бурундуки: Грандиозное бурундуключение";"2015";"США";;"2016-01-14 00:00:00";6;"анимационный, комедия, музыкальный, приключения, фэнтези";"Уолт Бекер"
"121026515";"Омерзительная восьмерка (2015)";"2015";"США";;"2016-01-14 00:00:00";18;"вестерн, детектив, драма, триллер";"Квентин Тарантино"
"121027613";"Голодные игры: И вспыхнет пламя";"2013";"США";;;;;"Френсис Лоуренс"
"121030014";"Пятьдесят оттенков серого /По произведению Э.Л.Джеймс/";"2015";"США";;"2015-02-12 00:00:00";;;"Сэм Тейлор-Джонсон"
"124000116";"Кунг-фу Панда 3";"2016";"США-КНР";;"2016-01-28 00:00:00";6;"анимационный, боевик, комедия, приключения, фэнтези";"Алессандро Карлони, Дженнифер Ю"
"124000216";"Медведи Буни: Таинственная зима";"2015";"КНР";;"2016-02-11 00:00:00";6;"анимационный, комедия";"Динг Лианг, Фуюань Лью"
"124000316";"Зверополис";"2016";"США";;"2016-03-03 00:00:00";6;"анимационный, детектив, комедия, приключения";"Рич Мур, Байрон Ховард"
"124000516";"Лунный флаг";"2015";"Испания";;"2016-03-24 00:00:00";6;"анимационный, комедия, приключения";"Энрике Гато"
"124000611";"Звездные воины: Путь сквозь Вселенную";"2010";"США-Китай";;;;;"Кеер Ху "
"124000716";"Белки в деле";"2015";"США";;"2016-03-24 00:00:00";0;"анимационный, комедия";"Росс Венокур"
"124000815";"Барашек Шон.";"2015";"Великобритания - Франция";;"2015-03-26 00:00:00";;;"Марк Бертон"
"124000816";"Король обезьян (2015)";"2015";"КНР";;"2016-03-17 00:00:00";6;"анимационный, боевик, комедия, приключения, фэнтези";"Тиан Сяо Пенг"
"124000911";"Кунг-фу Панда 2";"2011";"США";;;;;"Дженнифер Ю"
"124000916";"Короткометражные анимационные фильмы. Оскар 2016";"2008; 2014-2015";"США - Канада - Россия - Франция - Чили - Ирландия";;"2016-03-24 00:00:00";;;"П.Бар, К.Баркер, К.Бронзит, М.Демаре,  Ю.Жан, Ж.Журдан, П.-Б.Марти,  Г.Осорио, С.Патэль, М.Пилье, Б.Плимптон, Ж.Робин,  К.Роже, Ж.Солер, Н.Филан, Н.Форнер,  Д.Херцфельд, К.Ше"
"124001016";"Норм и Несокрушимые";"2016";"Индия - США";;"2016-03-24 00:00:00";6;"анимационный, комедия, приключения";"Тревор Уолл"
"124001715";"Миньоны";"2015";"США";;"2015-07-09 00:00:00";;;"Кайл Балда, Пьер Соффин"
"124002212";"Монстры на каникулах";"2012";"США";;;;;"Геннадий Тартаковский"
"124002315";"Головоломка.       Лава";"2015";"США";;"2015-06-18 00:00:00";;;"Пит Доктер, Роналдо Вуд Кармен"
"124003215";"Пернатая банда";"2015";"Мексика - США";;"2016-02-25 00:00:00";6;"анимационный, боевик, комедия, приключения";"Рикардо Арнаиз, Рауль Гарсиа, Майк Кункель"
"124003615";"Монстры на каникулах 2";"2015";"США";;"2015-10-22 00:00:00";;;"Геннадий Тартаковский"
"124003715";"Крутые яйца";"2015";"Мексика";;"2015-10-15 00:00:00";;;"Габриэль Рива Паласио Алатристе, Родольфо Рива Паласио Алатристе"
"124003815";"Приключения Пикси";"2015";"Канада";;"2015-10-29 00:00:00";;;"Шон Патрик О.Рейли"
"124004015";"Хороший динозавр. Санджай и его команда";"2015";"США";;"2015-11-26 00:00:00";12;"анимационный, драма, комедия, приключения, фэнтези";"Питер Сон"
"124004115";"Маленький принц (2015)";"2015";"Франция";;"2015-12-24 00:00:00";6;"анимационный, драма, приключения, фэнтези";"Марк Осборн"
"124004213";"Храброе сердце.";"2013";"Германия";;;;;"Томас Боденштайн, Хьюберт Вейланд, Нина Велс"
"124004215";"Снежная битва";"2015";"Канада";;"2015-12-10 00:00:00";6;"анимационный";"Франсуа Бриссон, Жан-Франсуа Пуле"
"124004315";"Снупи и мелочь пузатая в кино";"2015";"США";;"2015-12-24 00:00:00";0;"анимационный, комедия, приключения";"Стив Мартино"
"124004515";"Волшебное королевство Щелкунчика";"2015";"Перу";;"2015-12-31 00:00:00";0;"анимационный";"Эдуардо Шульдт"
"126000316";"Большой Вавилон";"2015";"Великобритания";;"2016-02-04 00:00:00";0;"документальный";"Ник Рид, сорежиссер Марк Франкетти"
"126000416";"Сборник короткометражных фильмов о любви - 3";"2009; 2011-2012; 2014";"США - Франция - Канада - Германия - Австралия - Индия";;"2016-02-11 00:00:00";;;"У.Грайнер, Д.Гротелл, Г.Мендеш, М.Ситер, А.Халискиас,  Ж.Хосмалин"
"126000516";"Сахар";"2014";"Австралия";;"2016-03-10 00:00:00";12;"документальный";"Дамон Гамо"
"126000616";"Короткометражные фильмы-номинанты на Оскар-2016";"2015";"Израиль - Франция - Германия - Палестина - США - Австрия - Великобритания";;"2016-02-25 00:00:00";;;"П.Воллрат, Д.Донахьюм, Б.Клеари, Б.Халил, Г.Хугхеш"
"126000715";"Джузеппе Верди. Травиата /По произведению А.Дюма-сына ""Дама с камелиями""/. Постановка Opera de Paris";"2014";"Германия";;;;;"Бенуа Жако"
"126000810";"Аида.";"2009";"Италия";;;;;"Феликс Брайзах"
"126001116";"Франкофония";"2015";"Франция - Германия - Нидерланды";;"2016-03-17 00:00:00";16;"документальный, драма, исторический";"Александр Сокуров"
"126001316";"Хичкок/Трюффо";"2015";"Франция - США";;"2016-03-31 00:00:00";0;"документальный";"Кент Джонс"
"126001512";"Гаэтано Доницетти. Анна Болейн /По пьесам Ипполито Пондемонто ""Генрих VIII, или Анна Болейн"" и Алессандро Пеполи ""Анна Болейн""/. Постановка Wiener Staatsoper";"2011";"Великобритания";;;;;"Эрик Геновеси"
"126001916";"Queen. Live in Bohemia";"2015";"Великобритания";;"2018-10-11 00:00:00";;;"Том Коркоран"
"126002215";"Джузеппе Верди. Дон Карлос /По драме Фридриха Шиллера ""Дон Карлос, инфант Испанский/. Постановка Зальцбургского фестиваля";"2013";"Германия";;;;;"Петер Штайн"
"126003615";"Флоренция и галерея Уффици 3D";"2015";"Италия";;"2015-12-11 00:00:00";;;"Лука Виотто"
"126003815";"Лучшие итальянские короткометражки";"2012-2013";"Италия";;;;;"А.Андризани, А.Бардани, В.Карнелутти, Ф.Коста,  Г.С.Нардис, В.Пальмьери, В.Чеа, А.Юлиано "
"126004214";"Джузеппе Верди. Трубадур /По одноименной драме А.Г.Гутьерреса/. Зальцбург, 2014";"2014";"Германия";;;;;"Филипп Штёльцль"
"127900114";"TheatreHD: Двенадцатая ночь";"2014";"Великобритания";"CoolConnections";"2014-05-09 00:00:00";16;;"Тим Кэрролл"
"127900116";"Шерлок: Безобразная невеста";"2016";"Великобритания";"CoolConnections";"2016-01-04 00:00:00";;;
"127900216";"TheatreHD: Искатели жемчуга";"2016";"США";"CoolConnections";"2016-01-14 00:00:00";;;
"127900316";"TheatreHD: Опасные связи";"2016";"Великобритания";"CoolConnections";"2016-01-28 00:00:00";;;
"127900414";"TheatreHD: Сон в летнюю ночь";"2014";"Великобритания";;;;;
"127900415";"TheatreHD: Трудная задача";"2016";"Великобритания";"CoolConnections";"2016-02-15 00:00:00";;;
"127900416";"TheatreHD: Как важно быть серьезным";"2016";"Великобритания";"CoolConnections";"2016-02-04 00:00:00";;;
"127900515";"TheatreHD: Человек и сверхчеловек";"2015";"Великобритания";"CoolConnections";"2015-05-14 00:00:00";16;;"Саймон Годвин"
"127900915";"TheatreHD: Аудиенция";"2016";"Великобритания";"CoolConnections";"2016-02-16 00:00:00";;;
"127901115";"TheatreHD:  Суровое испытание";"2016";"Великобритания";"CoolConnections";"2016-02-14 00:00:00";;;
"127901215";"TheatreHD: Частные жизни";"2016";"Великобритания";"CoolConnections";"2016-02-10 00:00:00";;;
"127901415";"TheatreHD: Комедия ошибок";"2016";"Великобритания";"CoolConnections";"2016-02-17 00:00:00";;;
"127901815";"TheatreHD: Трубадур";"2016";"США";"CoolConnections";"2016-02-13 00:00:00";;;
"127902015";"TheatreHD: Гамлет: Камбербэтч";"2015";"Великобритания";"CoolConnections";"2015-10-15 00:00:00";;;
"127902115";"TheatreHD: Метопера: Отелло";"2016";"США";"CoolConnections";"2016-02-16 00:00:00";;;
"127902515";"TheatreHD: Кориолан";"2015";"Великобритания";"CoolConnections";"2015-11-12 00:00:00";;;
"127902715";"TheatreHD: Лулу";"2015";"США";;"2015-11-21 00:00:00";;;
"127902915";"ROH: Зимняя сказка";"2016";"Великобритания";"CoolConnections";"2016-02-10 00:00:00";;;
"127903015";"TheatreHD: Призраки";"2016";"Великобритания";"CoolConnections";"2016-02-13 00:00:00";;;
"127903115";"TheatreHD: Джейн Эйр";"2016";"Великобритания";"CoolConnections";"2016-02-11 00:00:00";;;
"127903215";"TheatreHD: Волшебная флейта";"2015";"США";"CoolConnections";"2015-12-12 00:00:00";16;;"Джули Теймор"
"127903216";"TheatreHD: Турандот";"2016";"США";"CoolConnections";"2016-02-21 00:00:00";;;
"127903316";"TheatreHD: Как вам это понравится";"2016";"Великобритания";"CoolConnections";"2016-02-25 00:00:00";;;
"127903516";"TheatreHD: Палачи";"2016";"Великобритания";"CoolConnections";"2016-02-14 00:00:00";;;
"127903816";"TheatreHD: Манон Леско";"2016";"США";"CoolConnections";"2016-03-05 00:00:00";;;
"127905315";"Brainstorm: Между берегами";"2016";"Латвия";;"2016-03-10 00:00:00";;;
"127910216";"Любовь 3D";"2015";"Франция, Бельгия";;;;;"Г.Ноэ"
"127910516";"Imagine Dragons: Smoke + Mirrors ";"2016";;;"2016-03-03 00:00:00";;;
"127911216";"TheatreHD: Clobe: Буря";"2013";"Великобритания";;"2016-07-01 00:00:00";;;"Джереми Хэррин"
"127911316";"TheatreHD: Clobe: Доктор Фауст";"2011";"Великобритания";;"2016-07-01 00:00:00";;;"Мэттью Данстер"
"211035915";"Метаморфозис .";"2014-2015";"Россия";;;;;"С.Тарамаев, Л.Львова"
"211046015";"Дороги. Новая версия";"2015";"Россия";;;;;"А.Гаврилов"
"211052515";"Дети 90-х";"2015";"Россия";;"2015-11-12 00:00:00";;;"М.Юсупов"
"211059015";"Семейные хлопоты";"2015";"Россия";;"2016-03-10 00:00:00";;;"А.Барыкин"
"21132003";"Евгений Онегин";"1911";"Россия";;;;;"В.Гончаров"
"21198703";"Двое на качелях";"2003";"Россия";;;;;"Р.Солнцева"
"212028715";"БУКВАЛЬНАЯ ГЕОМЕТРИЯ";"2015";"Россия";;;;;"Е.Еременко"
"212040615";"БОСОНОГИЙ ГАРНИЗОН";"2015";"Россия";;;;;"В.Сапрынский"
"212044315";"Ян Карский - Праведник мира";"2015";"Россия, Польша, США";;"2016-02-04 00:00:00";0;"документальный";"Славомир Грюнберг"
"217007915";"Поворот_";"2015";"Россия";;;;;"А.Пирумов"
"221036315";"Танцующий в пустыне";"2014";"Великобритания - ОАЭ - Румыния - Марокко - Россия";;"2016-02-04 00:00:00";16;"биографический, драма";"Ричард Рэймонд"
"221061901";"Мадемуазель Нитуш";"1954";"Франция, Италия";;;;;"Ив Алегри"
"221290307";"Он и она";"1981";"Индия";;;;;"Виджай Ананд"
"224025112";"Золушка._";"1950";"США";;;;;"Гамильтон Ласки, Клайд Джероними, Уилфред Джексон"
"226014715";"Как изменить мир";"2015";"Канада - Великобритания";;"2015-11-26 00:00:00";;;"Джерри Ротуэлл"
