"HALL_ID";"THEATRE_ID";"HALL_NAME";"PLACES";"EXP_3D";"EXP_IMAX";"EXP_LASER";"EXP_DVD"
2067;1599;"Зал 3";158;"0";"0";"0";"0"
2068;1599;"Зал 4";158;"0";"0";"0";"0"
2069;1599;"Зал 5";333;"0";"1";"0";"0"
2072;1601;"Зал № 1";155;"1";"0";"0";"0"
2073;1601;"Зал №2";155;"1";"0";"0";"0"
2074;1601;"Зал №3";50;"1";"0";"0";"0"
2075;1601;"Зал №4";106;"1";"0";"0";"0"
2076;1601;"Зал №5";106;"1";"0";"0";"0"
2077;1601;"Зал №6";106;"1";"0";"0";"0"
2078;1601;"Зал №7";106;"1";"0";"0";"0"
2079;1602;"Зал 1";246;"1";"0";"0";"0"
2080;1602;"Зал 2";97;"1";"0";"0";"0"
2081;1602;"Зал 3";104;"1";"0";"0";"0"
2082;1602;"Зал 4";180;"1";"0";"0";"0"
2083;1602;"Зал 5";106;"1";"0";"0";"0"
2084;1602;"Зал 6";142;"1";"0";"0";"0"
2085;1602;"Зал 7";66;"1";"0";"0";"0"
2086;1602;"Зал 8";66;"1";"0";"0";"0"
2087;1602;"Зал 9 VIP";24;"1";"0";"0";"0"
2088;1603;"Зал 1";203;"1";"0";"0";"0"
2089;1603;"Зал 2";207;"1";"0";"0";"0"
2090;1603;"Зал 3";207;"1";"0";"0";"0"
2091;1603;"Зал 4";215;"1";"0";"0";"0"
2092;1603;"Зал 5";215;"1";"0";"0";"0"
2093;1603;"Зал 6";132;"1";"0";"0";"0"
2094;1603;"Зал 7";37;"1";"0";"0";"0"
2095;1604;"Зал 1";302;"0";"0";"0";"0"
2096;1604;"Зал 2";232;"0";"0";"0";"0"
2097;1604;"Зал 3";141;"0";"0";"0";"0"
2098;1604;"Зал 4";143;"0";"0";"0";"0"
2099;1604;"Зал 5";74;"0";"0";"0";"0"
2107;1607;"Зал 1";127;"1";"0";"0";"0"
2108;1607;"Зал 2";127;"1";"0";"0";"0"
2109;1607;"Зал 3";127;"1";"0";"0";"0"
2110;1607;"Зал 4";249;"1";"0";"0";"0"
2111;1607;"Зал 5";249;"1";"0";"0";"0"
2112;1607;"Зал 6";127;"1";"0";"0";"0"
2113;1607;"Зал 7";127;"1";"0";"0";"0"
2114;1607;"Зал 8";127;"1";"0";"0";"0"
2115;1608;"Зал 1";193;"1";"0";"0";"0"
2116;1608;"Зал 2";70;"1";"0";"0";"0"
2117;1608;"Зал 3";245;"1";"0";"0";"0"
2118;1608;"Зал 4";248;"1";"0";"0";"0"
2119;1608;"Зал 5";126;"1";"0";"0";"0"
2120;1608;"Зал 6";301;"1";"0";"0";"0"
2121;1608;"Зал 7";181;"1";"0";"0";"0"
2122;1608;"Зал 8";45;"1";"0";"0";"0"
2123;1608;"Зал 9";147;"1";"0";"0";"0"
2124;1608;"Зал 10";259;"1";"0";"0";"0"
2262;215;"Зал 2";58;"1";"0";"0";"0"
2263;215;"Зал 3";151;"1";"0";"0";"0"
2264;215;"Зал 4";348;"1";"0";"0";"0"
