"THEATRE_ID";"THEATRE_NAME";"ORGTYPE";"HOLDING_ID";"REGION";"CITY"
70;"АО ""Киномакс"" в г. Москва";"h";;"Москва г";"Москва г"
1577;"КАРО ФИЛЬМ";"h";;"Москва г";"Москва г"
1670;"СИНЕМА ПАРК";"h";;"Москва г";"Москва г"
1315;"СИНЕМА-СТАР";"h";;"Москва г";"Москва г"
1740;"ФОРМУЛА КИНО";"h";;"Москва г";"Москва г"
